token_id,token,n_occurrences,mean_abs_attribution,ci_low,ci_high,mean_signed_attribution
146,NUM_BUN_30_50,49,0.03415096764053617,0.028047520425455757,0.04161956648969528,0.03415096764053617
102,GAP_0_7D,604,0.033904097772693716,0.028724719920672288,0.03854849024273729,-0.024972637869928045
54,NUM_HBA1C_MISSING,2655,0.033692065348696114,0.03261765192984724,0.03464027005066681,-0.033546236477285385
111,LABAGE_CREATININE_GT180D,2485,0.03292929723314703,0.0316914148634509,0.03416736989964606,0.018336181652695183
50,COM_HAS_HTN,1698,0.03268301840047478,0.030421500411878057,0.03535555534715098,-0.031314548618037875
21,MED_ON_SULFONYLUREA,432,0.03157524754337997,0.028828112198802786,0.03495689707677364,0.030655545086726004
41,MED_ON_INSULIN_BASAL,18,0.031211473591004808,,,0.031211473591004808
63,DEM_AGE_50_60,1571,0.028915874592229673,0.027740318874431347,0.03038027731001072,0.027069066949002712
135,LABAGE_CREATININE_91_180D,175,0.02868504858658915,0.023792162437707053,0.033833212048073096,0.02761161977674679
16,NUM_CREATININE_MISSING,7117,0.027097531892673807,0.02662536345526099,0.027610054619275688,0.02596903291705571
3,[SEP],6000,0.022979214690698427,0.022488804187146008,0.02350240509839829,0.008419278906216883
78,GAP_6_12M,1654,0.02279216431478543,0.02126321647356565,0.024441159520807436,0.011175637082039112
22,LABAGE_CREATININE_0_30D,4170,0.0225939987694657,0.022056315950574036,0.023106534341411616,-0.022349984199590354
48,MED_ON_DPP4,19,0.020778954454918244,,,0.02073084255741713
166,DEM_AGE_GT_90,8,0.020150572527199984,,,-0.01728472439572215
153,COM_HAS_HF,11,0.018416455608199944,,,-0.018416455608199944
101,COM_HAS_DYSLIPIDEMIA,401,0.018374920568801696,0.01562360312062881,0.02104846840103298,-0.016913616256829016
116,NUM_TRIGLYCERIDES_GT_500,51,0.01670651215210776,0.013791803720945895,0.020433364524083737,0.013456661781460485
38,LABAGE_LDL_0_30D,614,0.01610431460982586,0.015269128569395734,0.01698155090592878,-0.015963500068604138
60,GAP_1_3M,1271,0.015673516784527358,0.014442889927688928,0.01677350734049293,-0.011740096433592497
156,DXCOUNT_GT5,27,0.015119152656687354,,,-0.015004081992191021
35,VITAL_SBP_MISSING,6000,0.014839389341330389,0.014069547437128493,0.015568918885960011,0.0133361016435083
18,NUM_FBS_MISSING,7807,0.014679538825689908,0.014353571185042355,0.015035649375390345,0.005851617910416323
17,LABAGE_CREATININE_MISSING,7119,0.014132059993757124,0.013897654899506003,0.014348061270340589,0.012556268418360533
141,LABAGE_LDL_31_90D,81,0.013213679498423718,0.00906026990222601,0.01807824208197776,0.012981272870990919
136,COM_HAS_CKD,37,0.013061601564766386,0.006720132940618725,0.02071691884752048,-0.012543351700957361
20,DXCOUNT_0,9325,0.013011623220688329,0.012774863620656447,0.013289690819806717,-0.012225596147800681
25,VITAL_HEIGHT_MISSING,6000,0.012973321561061311,0.01266827063839519,0.013284650922684766,-0.0013866918362958433
150,MED_ON_GLP1,2,0.01272415742278099,,,-0.01272415742278099
9,LABAGE_HBA1C_0_30D,9907,0.012514853000987924,0.012300606131928156,0.01271517666773983,0.0012909018638888213
29,VITAL_BMI_MISSING,6000,0.012310459058660248,0.01209159941605491,0.012540648277824069,-0.011047162359436091
92,DEM_AGE_40_50,1144,0.012019939837045968,0.0114179531320772,0.012578157029173991,-0.005429910810727795
81,MED_ON_INSULIN_BOLUS,14,0.01171354079685573,,,0.01171354079685573
19,LABAGE_FBS_MISSING,7815,0.011426833156935432,0.011279096016229269,0.011587832966399961,0.010478432472409134
28,THERAPY_MONOCOMBO_0,658,0.01118709384875958,0.010186637060586355,0.012234638364695474,-0.00849873388818066
87,NUM_TRIGLYCERIDES_300_500,141,0.011181848463833544,0.009907204225239946,0.012583077858831296,0.010847404932748553
34,THERAPY_NAGENTS_2,366,0.010723293744774454,0.009522897898318288,0.011906909734081308,0.010145193729085258
103,LABAGE_FBS_GT180D,2537,0.009879885964310298,0.009564344908751805,0.010204296277205512,0.006756923123733669
23,LABAGE_FBS_0_30D,3216,0.00976282869429559,0.009548432734808517,0.0100526621979027,-0.00934807222770518
79,NUM_BUN_7_20,702,0.009013047421276782,0.008444487170567186,0.009622344505729633,-0.008491124735085129
130,LABAGE_FBS_91_180D,267,0.008930955595582766,0.0078755860467323,0.009925295925686202,0.003945904548893846
80,DXCOUNT_3_5,565,0.008618529102393113,0.007945041157874052,0.009360286804078743,-0.003855404246467644
11,NUM_LDL_MISSING,11987,0.00851065429016491,0.008313671218326388,0.008668511232864523,0.004496690373095623
75,LABAGE_BUN_0_30D,311,0.008489586611907596,0.007846154175511173,0.00927176670027509,-0.007754166859605984
26,DXCOUNT_1_2,3918,0.0084856664040582,0.008215828332877028,0.008754773320716088,-0.006356996055227873
106,NUM_LDL_160_190,227,0.008446493797237054,0.007383869720182109,0.00954008275922298,-0.0082664284994877
67,NUM_CREATININE_LE_0_6,2075,0.008376553520800108,0.00805318049948413,0.008691124504468723,-0.004862581649227124
24,VITAL_WEIGHT_MISSING,6000,0.007943971180417671,0.007465392867435548,0.008381676602824155,0.003163603575344799
128,NUM_TOTAL_CHOLESTEROL_GT_300,76,0.007569254078828779,0.006355896300948715,0.009104484718754014,0.004641491686925292
108,LABAGE_HBA1C_GT180D,1111,0.00756192705734938,0.0072020910267096925,0.0079734636848187,-0.0029474832566820076
91,NUM_CREATININE_1_2_2_0,531,0.007518779268741946,0.007015814228439124,0.008039582681057495,0.0010776076439920226
56,THERAPY_NAGENTS_3,14,0.007395617431029677,,,0.007392864291822272
15,LABAGE_TOTAL_CHOLESTEROL_0_30D,1244,0.0073876863024191905,0.006895028071901021,0.007878417413589403,-0.0070421788474880655
10,MED_ON_METFORMIN,948,0.007273097663056444,0.006797973262220641,0.007808701572070706,0.004221060711973104
114,NUM_BUN_20_30,103,0.007253033223587938,0.005901871307576991,0.008855662239850804,0.005411029920616025
27,THERAPY_NAGENTS_1,657,0.007199394276551335,0.006443647877521398,0.007968466020497717,0.0023455004445404734
133,LABAGE_FBS_31_90D,150,0.007067694808356464,0.005930314785718413,0.0083017888032385,0.003663301282407095
44,DEM_SEX_FEMALE,3552,0.007032217854245844,0.006868910026154018,0.007178298723557533,-0.006455862739798462
83,NUM_LDL_130_160,459,0.006625002836653849,0.006004172153285543,0.007213765502365078,-0.005989708904289054
148,LABAGE_HBA1C_31_90D,102,0.00656289487218886,0.00541264927964863,0.007733533477884895,0.004193631489304643
70,NUM_LDL_100_130,653,0.006518986996118504,0.006012036377551771,0.007032838802314741,-0.005876835449088855
39,NUM_TRIGLYCERIDES_LE_150,2298,0.006404884428718412,0.006115375123750215,0.006678230755821338,-0.005894450674696625
43,NUM_TOTAL_CHOLESTEROL_150_200,1377,0.006165828166217828,0.005556685463866115,0.006787541788607183,-0.004638783611527059
32,NUM_TOTAL_CHOLESTEROL_MISSING,10673,0.005962724920210206,0.0058685152739585056,0.006066158768108563,0.005199942876159808
58,NUM_TOTAL_CHOLESTEROL_200_240,821,0.005939630993499265,0.005290536219128025,0.006614831721602343,-0.004740710817293029
7,NUM_BUN_MISSING,13148,0.005921502720848156,0.005823805419963377,0.006020875512191293,0.002100447517326934
143,COM_HAS_ASCVD,91,0.005905039785660107,0.004134689440620055,0.00821735743429399,-0.003978672971473086
30,NUM_TRIGLYCERIDES_MISSING,10745,0.005764012619453746,0.005629979538855134,0.005875762352283948,0.001443361584330763
68,NUM_TRIGLYCERIDES_200_300,390,0.005178336783174951,0.004452700449201541,0.005954511831682444,0.0004481831086405481
72,NUM_TRIGLYCERIDES_150_200,456,0.0051288346689385405,0.004507561692482117,0.005814683811555018,-0.0027331115834066735
145,LABAGE_BUN_GT180D,474,0.00508046821990239,0.004763537248950706,0.005419121714394082,-0.004824659899972528
36,VITAL_DBP_MISSING,6000,0.005030316107760882,0.0048520094288732555,0.005189953579456232,0.0008400271521531977
142,LABAGE_CREATININE_31_90D,73,0.004982867406933147,0.0037408489035043787,0.006382818003436263,-0.002945986745818454
120,LABAGE_TOTAL_CHOLESTEROL_91_180D,181,0.0049700167217261015,0.0043098681288059335,0.005552161313895359,0.0029092683274818593
155,NUM_BUN_LE_7,31,0.0049272659272255916,0.003170032303962451,0.006680777638769452,-0.0038934603498707856
33,LABAGE_TOTAL_CHOLESTEROL_MISSING,10985,0.004799197748294458,0.004698076108654329,0.004903759620254436,0.003980118015229807
151,LABAGE_HBA1C_91_180D,173,0.004624020079631261,0.004114362033835351,0.005208307070085795,-0.00018398807235358208
5,[EV],13773,0.004566398221607603,0.0044685523488276905,0.004668565994086003,-0.0022034196797539084
57,NUM_TOTAL_CHOLESTEROL_LE_150,721,0.004552305431708102,0.0041711921915910865,0.004986498454499914,-0.00027895474760572265
71,NUM_LDL_70_100,439,0.0045172830345241695,0.00403555665605688,0.004965246163775608,-0.0032201199639182334
6,[CTX],6000,0.004455483124607175,0.004328334115847246,0.0045720986887023175,-0.0015627745962883636
99,LABAGE_LDL_GT180D,1269,0.004376844061198964,0.004150758185903642,0.00457565182740248,-0.0038863925378967057
31,LABAGE_TRIGLYCERIDES_MISSING,10748,0.004235852063921464,0.004166243418248329,0.004305005134444312,0.003877746522607857
95,LABAGE_TOTAL_CHOLESTEROL_GT180D,2062,0.004181051433138223,0.0039626287034074115,0.00447730098817193,0.0014839083569922198
121,LABAGE_TRIGLYCERIDES_91_180D,153,0.004120286368822764,0.0035774906097703575,0.004680655272833522,0.0030122316161663655
8,LABAGE_BUN_MISSING,13151,0.004031720444706449,0.003961127476838089,0.004097899745949307,-0.001287706107653323
82,NUM_LDL_LE_70,184,0.003997794439704233,0.003392838869922343,0.004605637096289644,-0.0015042030592430028
123,NUM_LDL_GT_190,110,0.0037416330009529537,0.0027603913919433992,0.004732506495440082,-0.0011283977317031134
159,LABAGE_BUN_91_180D,64,0.0037119061857993074,0.002939931268406326,0.004651855110876113,-0.001579059573032282
105,THERAPY_NAGENTS_4,1,0.003501615487039089,,,0.003501615487039089
134,LABAGE_TOTAL_CHOLESTEROL_31_90D,132,0.003495366567662903,0.0025784755209921663,0.004500498405242536,-0.0007277155922510605
12,LABAGE_LDL_MISSING,11998,0.0034946349119431203,0.0034405248978287115,0.003549230714681994,-0.001844501066417247
85,NUM_TOTAL_CHOLESTEROL_240_300,440,0.0034918179868823657,0.0031693575480560617,0.0038347995929722276,-0.0026539716267341812
131,LABAGE_TRIGLYCERIDES_31_90D,119,0.0031552467096064773,0.002663738697404316,0.0038116002528847007,0.0021209890637233727
14,LABAGE_TRIGLYCERIDES_0_30D,1119,0.0028481626079555717,0.002658586680278027,0.003079154807462704,-0.0021373226549708385
171,NUM_BUN_GT_50,2,0.0027311615413054824,,,-0.0027311615413054824
132,LABAGE_LDL_91_180D,114,0.002684375497266413,0.0020566021184142877,0.0033700017024704976,0.00033419022069561803
96,LABAGE_TRIGLYCERIDES_GT180D,1946,0.0026736179146215626,0.0025460790172727246,0.002819755036866159,-0.001119212669952792
164,LABAGE_BUN_31_90D,38,0.0022416104505904705,0.0016863410094198404,0.003048696726431157,0.0006522902442252656
107,MED_ON_SGLT2,5,0.0019340336206369103,,,0.0019340336206369103
2,[CLS],6000,0.0,0.0,0.0,0.0
